Rf_ohm,Cpd_F,Cf_F,A0,ft_Hz,fc_ideal_Hz,gbw_margin_index,bandwidth_Hz,peaking_dB,peaking_frequency_Hz,classification,classification_code
100000,5e-12,1e-13,100000,1000000,15915494.3091895,0.00123199711905482,813270.555123154,4.92305097701057,500692.18804067,Risky,3
100000,5e-12,1.12533558260076e-13,100000,1000000,14142887.2909246,0.00155635189648356,811585.979526507,4.87689031751562,500692.18804067,Risky,3
100000,5e-12,1.2663801734674e-13,100000,1000000,12567706.4775993,0.00196551073305578,809692.584925856,4.82491064240516,500692.18804067,Risky,3
100000,5e-12,1.425102670303e-13,100000,1000000,11167963.29194,0.00248140131825731,807564.967368659,4.76638399405329,500692.18804067,Risky,3
100000,5e-12,1.60371874375133e-13,100000,1000000,9924118.16049547,0.00313152064421146,805174.800723911,4.70049538083543,500692.18804067,Risky,3
100000,5e-12,1.80472176682717e-13,100000,1000000,8818807.75293698,0.00395030870369932,802499.381909571,4.62633432193257,500692.18804067,Risky,3
100000,5e-12,2.03091762090474e-13,100000,1000000,7836602.60040457,0.00498084467306008,799496.983452004,4.54288638951548,500692.18804067,Risky,3
100000,5e-12,2.28546386413499e-13,100000,1000000,6963791.70939693,0.00627693484947249,796125.816081553,4.44902511665163,500692.18804067,Risky,3
100000,5e-12,2.57191380905935e-13,100000,1000000,6188191.16454391,0.00790567399899735,792342.548421241,4.35307737826886,486066.039674844,Risky,3
100000,5e-12,2.89426612471675e-13,100000,1000000,5498974.04847217,0.00995057541363733,788099.485852925,4.24630217313615,486066.039674844,Risky,3
100000,5e-12,3.25702065565978e-13,100000,1000000,4886519.3045469,0.0125153796073086,783344.395039777,4.12598289410881,486066.039674844,Risky,3
100000,5e-12,3.66524123707963e-13,100000,1000000,4342277.4327047,0.0157286667378812,778016.220999828,3.99050162470807,486066.039674844,Risky,3
100000,5e-12,4.12462638290135e-13,100000,1000000,3858651.143572,0.0197494128076292,772049.810712512,3.85118705553387,471867.148256756,Risky,3
100000,5e-12,4.64158883361277e-13,100000,1000000,3428889.3048723,0.0247736434438363,765380.214995816,3.69598851155907,471867.148256756,Risky,3
100000,5e-12,5.22334507426683e-13,100000,1000000,3046992.6996779,0.0310423502255705,757934.128193407,3.5249635121377,458083.032817747,Risky,3
100000,5e-12,5.87801607227492e-13,100000,1000000,2707630.28094782,0.03885084137567,749583.87292545,3.34617694409432,458083.032817747,Risky,3
100000,5e-12,6.61474064123016e-13,100000,1000000,2406064.75331581,0.0485596991348085,740296.736289507,3.14931126599516,444701.576981421,Risky,3
100000,5e-12,7.4438030132517e-13,100000,1000000,2138086.44329468,0.0606075080305313,729921.22651964,2.94179851006077,444701.576981421,Marginal,2
100000,5e-12,8.37677640068292e-13,100000,1000000,1899954.53476495,0.0755254993189695,718391.596891657,2.7220368445602,431711.01831323,Marginal,2
100000,5e-12,9.42668455117885e-13,100000,1000000,1688344.84943057,0.093954225247352,705535.635341395,2.48878862143636,419099.937981178,Marginal,2
100000,5e-12,1.06081835513945e-12,100000,1000000,1500303.44328812,0.116662331453107,691315.207128721,2.24475390978025,406857.250718553,Marginal,2
100000,5e-12,1.19377664171444e-12,100000,1000000,1333205.37134422,0.144567437239578,675529.508321228,1.99161691781055,394972.195079861,Marginal,2
100000,5e-12,1.3433993325989e-12,100000,1000000,1184718.04496135,0.178759064254431,658039.447756134,1.73020973206559,383434.323981411,Marginal,2
100000,5e-12,1.51177507061566e-12,100000,1000000,1052768.67032263,0.220523479627271,638761.089276335,1.46670953252866,361359.864049185,Marginal,2
100000,5e-12,1.70125427985259e-12,100000,1000000,935515.313476162,0.271370248470677,617578.199325719,1.20179644771785,340556.239174811,Marginal,2
100000,5e-12,1.91448197616996e-12,100000,1000000,831321.18804427,0.333060234554894,594267.529723364,0.941355365412158,320950.286900444,Safe,1
